Title,Director,Genres,Plot,Vote Average,Vote Count
Warlock,Steve Miner,"Horror, Fantasy, Action","In 17th century New England, witch hunter Giles Redferne captures an evil warlock, but the conjurer eludes death with supernatural help. Flung into the future, the warlock winds up in the 1980s and plans to bring about the end of the world. Redferne follows the enchanter into the modern era and continues his mission, but runs into trouble in such unfamiliar surroundings. With the help of a young woman, can Redferne finally defeat the warlock?",6.3,388
Confessions,Tetsuya Nakashima,"Drama, Thriller, Mystery","Devastated at the death of her four-year-old daughter, a grieving middle school teacher is horrified to discover that her students aren't as innocent as she thinks.",7.579,878
Mercenaries,Christopher Ray,Action,"A diplomatic official is captured and imprisoned while touring a war zone, so a team of elite female commandos is assembled to infiltrate a women's prison for a daring rescue.",5.2,120
High Heat,Zach Golden,"Action, Thriller, Crime, Comedy","When the local mafia shows up to burn down her restaurant, Ana, a chef with a meticulous past, defends her turf and proves her knife skills both in and out of the kitchen.",5.6,139
Fired Up!,Will Gluck,Comedy,Popular high schoolers and best friends Shawn and Nick decide to ditch football camp for cheerleader camp. For the girls and for the glory.,6.1,640
Two Wolves,Alex Gibney,Thriller,"Follow helicopter pilot Hugh Thompson who turned against his fellow soldiers during the Vietnam War to halt the My Lai massacre; but was then branded a traitor and threatened with court-martial, while the perpetrators were pardoned.",0.0,0
25th Hour,Spike Lee,"Crime, Drama","In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",7.3,2323
Chaos,Tony Giglio,"Drama, Action, Crime","In Seattle, detective Quentin Conners is unfairly suspended and his partner Jason York leaves the police force after a tragic shooting on Pearl Street Bridge, when the hostage and the criminal die. During a bank heist with a hostage situation, Conners is assigned in charge of the operation with the rookie Shane Dekker as his partner. The thieves, lead by Lorenz, apparently do not steal a penny from the bank. While chasing the gangsters, the police team disclose that they planted a virus in the system, stealing one billion dollars from the different accounts, using the principle of the Chaos Theory. Further, they find that Lorenz is killing his accomplices.",6.308,1031
Once Upon a Crime,Yuichi Fukuda,"Fantasy, Comedy, Crime","While at the royal ball with Cinderella, Little Red Riding Hood finds herself in the middle of a mystery. Can she solve the case before midnight strikes?",6.298,119
Miss Sloane,John Madden,"Drama, Crime",An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,7.4,1784
The Getaway,Roger Donaldson,"Action, Crime, Mystery, Thriller","Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",5.7,329
Prizefighter: The Life of Jem Belcher,Daniel Graham,"History, Drama","At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.",6.3,174
27 Dresses,Anne Fletcher,"Comedy, Romance",Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,6.4,3087
Frances Ha,Noah Baumbach,"Comedy, Drama","An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",7.4,1590
D2: The Mighty Ducks,Sam Weisman,"Comedy, Action, Family, Drama","After Gordon Bombay's hockey comeback is cut short he is named coach of Team USA Hockey for the Junior Goodwill Games. Bombay reunites the Mighty Ducks and introduces a few new players, however, he finds himself distracted by his newfound fame and must regather if the Ducks are to defeat tournament favourites Iceland.",6.2,595
The Good Shepherd,Robert De Niro,"Drama, Thriller, History","Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",6.3,1131
Hell Night,Tom DeSimone,"Horror, Thriller","As an initiation rite into Alpha Sigma Rho fraternity, four pledges must spend a night in Garth Manor, twelve years to the day after the previous resident murdered his entire family.",5.5,171
Indochine,Régis Wargnier,"Drama, Romance","Set in colonial French Indochina during the 1930s to 1950s, this is the story of Éliane Devries, a French plantation owner, and of her adopted Vietnamese daughter, Camille, set against the backdrop of the rising Vietnamese nationalist movement.",7.0,213
La Belle Époque,Nicolas Bedos,"Comedy, Drama","Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing.",7.4,993
Where Hands Touch,Amma Asante,"War, Drama, Romance","Germany, 1944. Leyna, the 15-year old daughter of a white German mother and a black African father, meets Lutz, a compassionate member of the Hitler Youth whose father is a prominent Nazi soldier, and they form an unlikely connection in this quickly changing world.",7.9,511
Gantz,Shinsuke Sato,"Horror, Action, Science Fiction","After trying to rescue a man on the subway tracks, two teens wake up in a room dominated by a mysterious black sphere that sends them to hunt down and kill aliens hiding on Earth.",6.57,299
Sleepwalkers,Mick Garris,"Horror, Fantasy, Thriller","Charles Brady and his mother, Mary, are the last of a dying breed whose needs are not of this world.  They are Sleepwalkers - able to stay alive only by feeding on the life-force of the innocent, but destined to roam the earth, avoiding discovery while searching for their next victim.  That search takes them to the sleepy little town of Travis, Indiana, where beautiful teenager Tanya Robertson is about to become an unwilling pawn in their nightmarish fight for survival.",6.0,531
Junoon,Robin Bhatt,Horror,"Nita lives a middle-class lifestyle with her mom and dad in Bombay, India, and works as a Surgeon in a hospital. She is of marriageable age, &amp; is in love with a struggling Musician/Singer named Ravi, much to the chagrin of her mom, who wants her to marry someone who is wealthy. One day a badly wounded male is admitted into the hospital, is pronounced dead, but recovers, and with Nita's help recuperates and is discharged. He visits Nita's home, introduces himself as wealthy Vikram Chauhan and asks her parents for the hand of Nita, who immediately accept. But Nita wants to marry Ravi and plans to elope with him. On that fateful day, Ravi fails to keep his appointment and a heartbroken Nita decides to get married to Vikram. The marriage takes place with great pomp and ceremony. When Ravi attempts to re-enter Nita's life, she forbids him. Little does she know that Ravi's plans had been sabotaged by none other than Vikram - who is in reality a human during daytime...",5.2,6
The Lion in Winter,Anthony Harvey,"Drama, History",Henry II and his estranged queen battle over the choice of an heir.,7.4,339
The Thief of Bagdad,Raoul Walsh,"Romance, Adventure, Fantasy",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,7.3,157
Fireheart,Theodore Anthony Lee Ty,"Animation, Family, Comedy",The film explores the world of firefighters in 1920s New York City and tells the story of a 16-year-old girl who will have to become a hero in order to save her city.,7.242,248
Firebird,Peeter Rebane,"Drama, Romance, War","At the height of the Cold War, a troubled soldier forms a forbidden love triangle with a daring fighter pilot and his female comrade amid the dangerous surroundings of a Soviet Air Force Base.",7.3,171
Bill & Ted Face the Music,Dean Parisot,"Comedy, Science Fiction, Adventure","Yet to fulfil their rock and roll destiny, now middle-aged best friends Bill and Ted set out on a new adventure when a visitor from the future warns them that only their song can save life as we know it. Along the way, they are helped by their daughters, a new batch of historical figures and a few music legends — to seek the song that will set their world right and bring harmony to the universe.",5.921,926
Temple Grandin,Mick Jackson,"Drama, History","A biopic of Temple Grandin, an autistic American who has become one of the leading scientists in humane livestock handling.",7.729,442
Pokémon 4Ever,Kunihiko Yuyama,"Adventure, Fantasy, Animation, Science Fiction, Family","In order to escape a greedy Pokémon hunter, Celebi must use the last of its energy to travel through time to the present day. Celebi brings along Sammy, a boy who had been trying to protect it. Along with Ash, Pikachu, and the rest of the gang, Sammy and Celebi must encounter an enemy far more advanced than the hunter, with the fate of the forest hanging in the balance.",6.5,408
The Puppetman,Brandon Christensen,Horror,"The Puppetman, a convicted killer on death row always maintained his innocence saying that it was an evil force controlling his body as he slaughtered his victims. Now Michal, the killer's daughter, begins to suspect that there may be some truth to her father's claim when those around her begin to die in brutal ways. She must try and break the curse of The Puppetman before all her loved ones are killed.",5.8,59
The Debt,John Madden,"Drama, Thriller","Rachel Singer is a former Mossad agent who tried to capture a notorious Nazi war criminal – the Surgeon of Birkenau – in a secret Israeli mission that ended with his death on the streets of East Berlin. Now, 30 years later, a man claiming to be the doctor has surfaced, and Rachel must return to Eastern Europe to uncover the truth. Overwhelmed by haunting memories of her younger self and her two fellow agents, the still-celebrated heroine must relive the trauma of those events and confront the debt she has incurred.",6.6,882
Orang Ikan,Mike Wiluan,"Action, Horror, Fantasy, War","In the Pacific, 1942, a Japanese soldier and a British prisoner of war are stranded on a deserted island, hunted by a deadly creature. Two mortal enemies must come together to survive the unknown.",0.0,0
The Best Century of My Life,Alessandro Bardani,Comedy,"An absurd law prevents John, an unrecognized child at birth, from knowing the identity of his biological parents before his 100th birthday. To succeed in attracting public opinion, his only hope is to obtain the complicity of Gustavo, the only unrecognized-at-birth centenarian alive. The only one who would have the right to avail himself of this legislation but seems to have no interest in doing so. The Most Beautiful Century of My Life tells of the meeting between a centenarian projected into the future and a young man anchored in the past and of their unexpected friendship.",6.427,103
An Unfinished Life,Lasse Hallström,Drama,"Stoic and heartbroken, Einar Gilkyson quietly lives in the rugged Wyoming ranchlands alongside his only trusted friend, Mitch Bradley. One day, the woman he blames for the death of his only son arrives at his door broke, desperate and with a granddaughter he's never known. But even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure and forgiveness.",6.8,622
Elizabeth Taylor: The Lost Tapes,Nanette Burstein,Documentary,Newly discovered interviews with Elizabeth Taylor and unprecedented access to the star’s personal archive reveal the complex inner life and vulnerability of the groundbreaking icon.,6.8,5
The Innocents,Eskil Vogt,"Horror, Drama, Fantasy","Four children become friends during the summer holidays, and out of sight of the adults they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen.",6.9,593
Serial (Bad) Weddings 3,Philippe de Chauveron,"Romance, Comedy","Claude and Marie Verneuil will soon be celebrating their 40th wedding anniversary. For the occasion, their four daughters - Isabelle, Odile, Ségolène and Laure - decide to organize a big surprise party in their family home in Chinon. They also decide to invite, each, the parents of their respective husbands - Rachid Benassem, David Benichou, Chao Ling and Charles Koffi.",6.3,359
The Paperboy,Lee Daniels,"Thriller, Drama, Mystery","As investigative reporter Ward Jansen and his partner Yardley Acheman chase a sensational, career-making story with the help of Ward's younger brother Jack and sultry death-row groupie Charlotte Bless, the pair tries to prove violent swamp-dweller Hillary Van Wetter was framed for the murder of a corrupt local sheriff.",5.541,736
The Pleasure,Joe D'Amato,Drama,"Edgard has just lost his wife Eleonore he had met at the carnival in Venice. It evokes his memory by listening to tapes . His brother's wife Ursula and his son Edmond come to move in with him. If the teen tries to seduce his aunt, Ursula wants to replace Eleonore in the heart of Edgard . He refuses until the day Ursula sold at auction to local brothel ...",5.1,7
Big Tits Zombie,Takao Nakano,"Action, Horror, Comedy","A medieval Book of the Dead is discovered in the catacombs that run under a small town strip club. When one of the desperate strippers raises an army of the undead, the rest of the strippers must kick some zombie ass to save the world.",5.4,43
The Last Summer,Bill Bindley,"Romance, Comedy","Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",6.0,1363
Open Season 3,Cody Cameron,"Adventure, Animation, Family, Comedy","Boog, Elliot, and their forest friends return with an all-new adventure, this time in a Big Top Circus! The comedy begins when Boog's pals choose their family obligations over the annual guy's trip, and a disappointed Boog decides to take a trip of his own, which leads him right into the middle of a circus ring...literally. When he switches places with a devious look-a-like circus grizzly and falls for an alluring Russian troupe member, he'll come to realize that maybe you don't have to choose between family and friendship after all.",5.6,597
About Schmidt,Alexander Payne,"Drama, Comedy","A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",6.832,1213
Ali,Michael Mann,Drama,"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",6.754,1690
An American Tail,Don Bluth,"Animation, Comedy, Adventure, Drama, Family","A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",6.721,1317
The Champion,Carlos Therón,"Drama, Family, Comedy","Diego has just been voted best young player in Europe and at the age of 20 he is on his way to making his team, Atlético de Madrid, champions of La Liga. But his impulsive and conflictive character makes the club, fed up with his excesses, hire Álex, a withdrawn and lonely psychology professor, to improve his behaviour. The two will have no choice but to learn to understand each other.",5.2,32
Glengarry Glen Ross,James Foley,"Crime, Drama, Mystery","When an office full of Chicago real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.",7.4,1356
Cop Out,Kevin Smith,"Action, Comedy, Crime","Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.",5.546,1474
Siren XXX: Magical Pleasure,Shintarô Ashizuka,"Thriller, Drama","In a rural port town, Kenji Ishikawa runs a barber shop together with his new wife, who speaks very little and has mysterious eyes to match her amorous presence. Running the shop isn’t easy as hardly any customers come…  One evening, a man comes to the shop, as if lured by the faint hum of the wife. As the man takes a seat, Kenji exits his shop. The wife then gently fingers the man’s neck…",5.5,17
Zipperface,Mansour Pourmand,"Horror, Mystery, Thriller",Lisa Ryder is a young policewoman recently promoted to detective when she has her first case in tracking down and identifying a serial killer in her small California town.,2.8,9
Runaway Train,Andrei Konchalovsky,"Action, Thriller, Drama, Adventure",A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,6.9,564
River,Junta Yamaguchi,"Comedy, Science Fiction, Fantasy","The one-hundred-year-old Fujiya inn stands in the quiet region of Kyoto. Mikoto is standing in front of the Kibune river at the back of the building when she is called back to work. But two minutes later, she finds herself back at the river again. The whole inn seems to be stuck in a time loop!",7.041,37
Confessions of a Teenage Drama Queen,Sara Sugarman,Comedy,"When the always dramatic Lola and her family move form the center of everything in New York City to the center of a cultural wasteland in suburban New Jersey, she feels her life is simply not worth living! But no matter who or what gets in the way, Lola won't give up on her life's ambition: to be a star! In a crowd-pleasing movie treat bursting with music, dance and excitement, Lola's fun-filled adventure won't be glamorous or easy, but it might just show her that real life could exceed even her wildest dreams!",5.642,886
Hiraeth,Kunga Choephel,Drama,"Eight years after immigrating to the US, exile Tibetan filmmaker Kunga Choephel returns to India to find the home he once knew isn’t how he remembered it. In the beautiful landscape of his hometown, Kunga explores the meaning of home, the sacrifices caused by his immigration, and reconciles with how time has changed the community he left behind.",0.0,0
The Virtuoso,Nick Stagliano,"Thriller, Crime, Action","Danger, deception and murder descend upon a sleepy town when a professional assassin accepts a new assignment from his enigmatic boss.",5.93,370
French Kiss,Lawrence Kasdan,"Comedy, Romance","After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.",6.4,714
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Errol Morris,Documentary,"A portrait of the life and career of the infamous American execution device designer Fred A. Leuchter, Jr. Mr. Leuchter was an engineer who became an expert on execution devices and was later hired by holocaust revisionist historian Ernst Zundel to ""prove"" that there were no gas chambers at Auschwitz. Leuchter published a controversial report confirming Zundel's position, which ultimately ruined his own career. Most of the footage is of Leuchter, working in and around execution facilities or chipping away at the walls of Auschwitz, but Morris also interviews various historians, associates, and neighbors.",7.0,61
Almost Paradise,Edgar San Juan,"Drama, Crime, Comedy","Ugo Conti, charismatic Italian aristocrat and influencer, arrives in Mexico where he seduces the Mexican high society. When he meets Frida Becker again, the love of his past, he will end up in the center of a struggle for political power.",7.8,6
Lord of Misrule,William Brent Bell,Horror,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",6.1,94
Now & Later,Philippe Diaz,Drama,"Sex, politics and American culture are mixed into a combustible combination in Now & Later. Angela is an illegal Latina immigrant living in Los Angeles who stumbles across Bill, a disgraced banker on the run. She takes him in. Through passionate sex, soul-searching conversations ranging from politics to philosophy, and other worldly pleasures, Angela introduces Bill to another worldview. As their affair heats up, the course of Bill's life begins to take an abrupt and unexpected turn.",5.224,49
Sailor Moon S the Movie: Hearts in Ice,Hiroki Shibata,"Animation, Fantasy, Action, Romance, Comedy","As Usagi and her friends enjoy Christmas vacation, an unusual and fierce snowstorm hits town... The evil Snow Queen Kaguya has returned to claim Earth as her own. Crucial to Queen Kaguya's plan is a magical crystal from outer space, approaching Earth disguised as a comet. Once she gets hold of the crystal, she will have the power to suck away all life energy and cover the Earth in ice. Will Sailor Moon find the crystal before Queen Kaguya? Will her powers be enough to save the Earth from permanent winter? All hope lies with the Legendary Ultimate Scout Power!",7.7,130
Desirable Teacher 2,Marino Girolami,Comedy,"Pierino has again flunked the exams. Therefore, his desperate parents send him to boarding school.",5.5,63
Crossroads,Walter Hill,"Drama, Music, Mystery, Romance","A wanna-be blues guitar virtuoso seeks a long-lost song by legendary musician, Robert Johnson.",7.3,419
Dorian Gray,Oliver Parker,"Fantasy, Drama, Thriller","Seduced into the decadent world of Lord Henry Wotton, handsome young aristocrat Dorian Gray becomes obsessed with maintaining his youthful appearance, and commissions a special portrait that will weather the winds of time while he remains forever young. When Gray's obsession spirals out of control, his desperate attempts to safeguard his secret turn his once-privileged life into a living hell.",6.033,2100
Bird on a Wire,John Badham,"Action, Adventure, Comedy, Romance","An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",6.2,916
Spanglish,James L. Brooks,Comedy,"Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter, Cristina, Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own, and very different, terms.",6.0,1266
Two and One,Ivan Andrew Payawal,"Drama, Romance","A gay couple realizes they aren't sexually compatible, so they look for a third man. But when betrayal and jealousy sneak in, their relationship shatters into pieces.",5.7,6
The Hot Spot,Dennis Hopper,"Romance, Crime, Thriller","Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities — and the local women — after he robs a bank.",6.3,256
McCabe & Mrs. Miller,Robert Altman,"Western, Drama","A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",7.1,389
Madam Scandal: Let Me Die for 10 Seconds,Shōgorō Nishimura,Drama,"In the exotic location of Los Angeles, California a business woman enjoys all the men in her life whether it’s her older husband, a younger relative or a former fiancé.",5.1,11
Romy and Michele's High School Reunion,David Mirkin,"Comedy, Romance","Two not-too-bright party girls reinvent themselves for their high school reunion. Armed with a borrowed Jaguar, new clothes and the story of their success as the inventors of Post-It notes, Romy and Michele descend on their alma mater, but their façade crumbles quickly.",6.2,517
About a Boy,Paul Weitz,"Drama, Comedy, Romance","Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up.",6.673,2175
The King of Staten Island,Judd Apatow,"Comedy, Drama","Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",7.012,989
Video Vixens!,Henri Pachard,Comedy,Video Vixens purports to be a satire of the phony liberalism that resulted in the permissiveness of the 1980s. A libidinous TV executive decides to stage an awards show. But not just any awards show: this one will honor the finest achievements in the world of filmed pornography.,5.1,8
Air Bud,Charles Martin Smith,"Comedy, Family",A lonely boy befriends a stray dog who has a natural talent for basketball and together they experience the highs and lows of life as their friendship remains solid through a series of escapades.,5.6,464
The Stanford Prison Experiment,Kyle Patrick Alvarez,Thriller,This film is based on the actual events that took place in 1971 when Stanford professor Dr. Philip Zimbardo created what became one of the most shocking and famous social experiments of all time.,6.856,922
Like Mike,John Schultz,"Family, Comedy, Fantasy","Calvin and his friends, who all live in an orphanage, find old shoes with the faded letters MJ connected to a powerline. One stormy night, they go to get the shoes when Calvin and the shoes are struck by lightning. Calvin now has unbelievable basketball powers and has the chance to play for the NBA.",6.1,509
The Final Countdown,Don Taylor,"War, Action, Science Fiction","During routine manoeuvres near Hawaii in 1980, the aircraft-carrier USS Nimitz is caught in a strange vortex-like storm, throwing the ship back in time to 1941—mere hours before the Japanese attack on Pearl Harbor.",6.6,584
Fuuto PI: The Portrait of Kamen Rider Skull,Yosuke Kabashima,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Science Fiction","What happened to Shotaro, Philip, and Sokichi Narumi on the night that ""Kamen Rider W"" was born? Based on the Begins Night arc from the live-action Kamen Rider W series with new scenes that expanded said events not seen in the original series, it is a powerful experience that only anime can provide.",0.0,0
Un/Happy for You,Petersen Vargas,"Romance, Drama","Two years after their breakup, a Bicolano chef on the rise reunites with his ex- girlfriend who is back in the province for a brief work visit. Still feeling bitter about their breakup, he tries to seduce her to ruin her engagement, only to find himself falling for her once more.",7.0,1
The Good Doctor,Lance Daly,"Drama, Thriller, Mystery","Dr. Martin Blake, who has spent his life looking for respect, meets an 18-year-old patient named Diane, suffering from a kidney infection, and gets a much-needed boost of self-esteem. However, when her health starts improving, Martin fears losing her, so he begins tampering with her treatment, keeping Diane sick and in the hospital right next to him.",6.2,242
Grand Isle,Stephen S. Campanelli,Thriller,"Walter and his neglected wife lure a young man into their Victorian home to escape a hurricane. When the man is charged with murder by Det. Jones, he must reveal the couple's wicked secrets to save himself.",5.4,306
Flightplan,Robert Schwentke,"Thriller, Drama, Mystery","Flying at 40,000 feet in a state-of-the art aircraft that she helped design, Kyle Pratt's 6-year-old daughter Julia vanishes without a trace. Or did she? No one on the plane believes Julia was ever onboard. And now Kyle, desperate and alone, can only count on her own wits to unravel the mystery and save her daughter.",6.453,2586
Please Don't Destroy: The Treasure of Foggy Mountain,Paul Briganti,"Comedy, Adventure","When three friends who live together realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",6.1,88
"Paul, Apostle of Christ",Andrew Hyatt,Drama,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",7.595,352
Pieces of a Woman,Kornél Mundruczó,Drama,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",7.033,1199
The Endless,Aaron Moorhead,"Science Fiction, Horror, Thriller",Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,6.326,1072
Contracted,Eric England,"Horror, Thriller",A young woman contracts what she believes to be an STD—but it ends up being a far worse disease.,5.4,487
Anatema,Jimina Sabadú,Horror,"Juana is a nun with a strong character marked by a paranormal experience. A mysterious order from the Archbishopric will take her to an old church in old Madrid, built on a network of passageways of unknown origin. There, Juana will discover that in the bowels of the building there is something prior to the legends that are explained about that place. And the Evil that lives there has begun to infect the exterior.",0.0,0
The Colors Within,Naoko Yamada,"Animation, Drama, Music","Totsuko is a high school student with the ability to see the 'colors' of others. Colors of bliss, excitement, and serenity, plus a color she treasures as her favorite. Kimi, a classmate at her school, gives off the most beautiful color of all. Although she doesn't play an instrument, Totsuko forms a band with Kimi and Rui, a quiet music enthusiast they meet at a used bookstore in a far corner of town. As they practice at an old church on a remote island, music brings them together, forming friendships and stirring affections.",6.5,2
John Dies at the End,Don Coscarelli,"Horror, Comedy","A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.",6.3,648
Pamangkin,King Wolf,Drama,Story of an uncle who is visited by a pretending nephew to get his hidden treasure.,0.0,0
Work It,Laura Terruso,"Comedy, Music",A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,7.6,1152
Harold & Kumar Escape from Guantanamo Bay,Hayden Schlossberg,"Comedy, Adventure","Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",6.3,1461
As Far As My Feet Will Carry Me,Hardy Martins,"Drama, War","The German soldier Clemens Forel - determined to be reunited with his beloved family - makes a dramatic escape through bitter cold winters, desolate landscapes, and life threatening ventures from a Siberian labor camp after World War II. 8000 miles and three endless years of uncertainty later, he is finally about to reach his destination... An edge of your seat drama that celebrates the power of the human spirit and the force of will, while inspired and impowered by love.",7.3,125
Friday Night Lights,Peter Berg,Drama,"A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",6.9,551
The Devil's Backbone,Guillermo del Toro,"Fantasy, Drama, Horror, Thriller","Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",7.3,1202
Bender: Gold of the Empire,Igor Zaytsev,"Comedy, Adventure, Action","The hunt for imperial gold continues. A priceless scepter, a treasure that could secure a worry-free life in sunny Rio de Janeiro for Ibrahim Bender and his young apprentice Ostap, has slipped from under their noses and ended up in possession of Nestor Makhno, an anarchist army commander. Makhno is convinced that the scepter is one of many imperial relics hidden in the area. With mafia, partisans, and officers of the Red and White armies all determined to get their hands on the fabled gold cache, Ostap and his mentor Ibrahim must surpass their own brilliance to outmaneuver their rivals and snatch the prize. And with Ostap’s beloved fair maiden losing her trust in him, he must do everything in his power to win her back and stop her from marrying another man.",6.8,69
Guinea Pig: Mermaid in the Manhole,Hideshi Hino,"Horror, Romance","An artist dealing with the grief of his wife leaving him finds solace in painting the squalor of the sewer. He discovers a trapped mermaid, whom he brings home to heal. Her condition worsens, and she asks the artist to paint her before she dies.",5.2,58
Good Morning,Yasujirō Ozu,"Comedy, Family, Drama","A lighthearted take on director Yasujiro Ozu’s perennial theme of the challenges of inter­generational relationships, Good Morning tells the story of two young boys who stop speaking in protest after their parents refuse to buy a television set. Ozu weaves a wealth of subtle gags through a family portrait as rich as those of his dramatic films, mocking the foibles of the adult world through the eyes of his child protagonists. Shot in stunning color and set in a suburb of Tokyo where housewives gossip about the neighbors’ new washing machine and unemployed husbands look for work as door-to-door salesmen, this charming comedy refashions Ozu’s own silent classic I Was Born, But . . . to gently satirize consumerism in postwar Japan.",7.7,277
